file,components_found,removed_components,removed_sizes,kept_sizes,changed,output_file
characters/cleric/040_legendary_cleric_040.png,2,0,,45595|39752,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/040_legendary_cleric_040.png
characters/cleric/041_mythic_cleric_041.png,1,0,,129572,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/041_mythic_cleric_041.png
characters/cleric/042_mythic_cleric_042.png,3,0,,107040|2831|763,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/042_mythic_cleric_042.png
characters/cleric/043_mythic_cleric_043.png,1,0,,186467,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/043_mythic_cleric_043.png
characters/cleric/044_mythic_cleric_044.png,1,0,,186402,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/044_mythic_cleric_044.png
characters/cleric/045_mythic_cleric_045.png,1,0,,186506,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/045_mythic_cleric_045.png
characters/cleric/046_mythic_cleric_046.png,1,0,,186527,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/046_mythic_cleric_046.png
characters/cleric/047_mythic_cleric_047.png,4,2,623|1042,92499|6945,True,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/047_mythic_cleric_047.png
characters/cleric/048_mythic_cleric_048.png,1,0,,129385,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/048_mythic_cleric_048.png
characters/cleric/049_mythic_cleric_049.png,1,0,,112159,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/049_mythic_cleric_049.png
characters/cleric/050_mythic_cleric_050.png,2,0,,109775|8889,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/050_mythic_cleric_050.png
characters/cleric/051_mythic_cleric_051.png,1,0,,186375,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/051_mythic_cleric_051.png
characters/cleric/052_mythic_cleric_052.png,1,0,,186463,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/052_mythic_cleric_052.png
characters/cleric/053_mythic_cleric_053.png,1,0,,186572,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/053_mythic_cleric_053.png
characters/cleric/054_mythic_cleric_054.png,1,0,,186235,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/054_mythic_cleric_054.png
characters/cleric/055_mythic_cleric_055.png,2,0,,108591|9282,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/055_mythic_cleric_055.png
characters/cleric/056_mythic_cleric_056.png,1,0,,109513,False,/root/perbug/generated_assets_cleaned_very_strict/characters/cleric/056_mythic_cleric_056.png
